Тип,Код,Описание,Группа,Цвет,Стиль,Размер
point,moln,109a,Нет группы,#000A96,1,5
point,fonar,110,Нет группы,#000A96,1,5
point,TrZn,206-1,Нет группы,#000A96,1,5
point,KIP,129-1,Нет группы,#000A96,1,5
point,аншлаг,аншлаг,Нет группы,#000A96,1,5
point,est,107-1,Нет группы,#000A96,1,5
point,KabZnm,206-3,Нет группы,#000A96,1,5
point,KabZnb,KabZNB,Нет группы,#000A96,1,5
point,Zadv,26l,Нет группы,#000A96,1,5
point,родник,311,Нет группы,#000A96,1,5
point,свеча,Svecha,Нет группы,#000A96,1,5
point,СОД,Zavod,Нет группы,#000A96,1,5
point,стб,1 stb,Нет группы,#000A96,1,5Тип,Код,Описание,Группа,Цвет,Стиль,Размер
point,Anshlag,аншлаг,Нет группы,#000A96,1,5
point,Derevo,390-1,Нет группы,#000A96,1,5
point,EST,107-1,Нет группы,#000A96,1,5
point,ferma,Tower,Нет группы,#000A96,1,5
point,fonar,110,Нет группы,#000A96,1,5
point,GazZn,206-1,Нет группы,#000A96,1,5
point,KanZnStor,119,Нет группы,#000A96,1,5
point,KabZnEl,206-3,Нет группы,#000A96,1,5
point,KabZnMet,206-3,Нет группы,#000A96,1,5
point,KabZnSv,206-3,Нет группы,#000A96,1,5
point,KIP,129-1,Нет группы,#000A96,1,5
point,kip,129-1,Нет группы,#000A96,1,5
point,KolBenz,117-13,Нет группы,#000A96,1,5
point,KolEl,117-9,Нет группы,#000A96,1,5
point,KolGaz,117-6,Нет группы,#000A96,1,5
point,KolK,117-3,Нет группы,#000A96,1,5
point,KolLiv,117-4,Нет группы,#000A96,1,5
point,KolMaz,117-12,Нет группы,#000A96,1,5
point,KolSV,117-10,Нет группы,#000A96,1,5
point,KolT,117-8,Нет группы,#000A96,1,5
point,KolV,117-2,Нет группы,#000A96,1,5
point,KolVozd,117-11,Нет группы,#000A96,1,5
point,KolZol,117-14,Нет группы,#000A96,1,5
point,moln,109a,Нет группы,#000A96,1,5
point,OP,115-10,Нет группы,#000A96,1,5
point,OpyskTr,126,Нет группы,#000A96,1,5
point,rodnik,311,Нет группы,#000A96,1,5
point,shkaf,140-2,Нет группы,#000A96,1,5
point,SOD,Zavod,Нет группы,#000A96,1,5
point,Sod,Zavod,Нет группы,#000A96,1,5
point,STB,1 stb,Нет группы,#000A96,1,5
point,Stb,1 stb,Нет группы,#000A96,1,5
point,stb,1 stb,Нет группы,#000A96,1,5
point,svecha,091-2,Нет группы,#000A96,1,5
point,tower,Tower,Нет группы,#000A96,1,5
point,Transform,113b-2,Нет группы,#000A96,1,5
point,Trvzem,126,Нет группы,#000A96,1,5
point,TrZn,206-1,Нет группы,#000A96,1,5
point,Vantuz,117-7,Нет группы,#000A96,1,5
point,VL,115-9,Нет группы,#000A96,1,5
point,VlDer,115-7c,Нет группы,#000A96,1,5
point,vlGB,115-9,Нет группы,#000A96,1,5
point,vlMET,115-7a,Нет группы,#000A96,1,5
point,vlPODP,115-10,Нет группы,#000A96,1,5
point,zad,26l,Нет группы,#000A96,1,5
point,Zadv,26l,Нет группы,#000A96,1,5
point,zadv,26l,Нет группы,#000A96,1,5
point,Аншлаг,аншлаг,Нет группы,#000A96,1,5
point,аншлаг,аншлаг,Нет группы,#000A96,1,5
point,Вантуз,117-7,Нет группы,#000A96,1,5
point,вантуз,117-7,Нет группы,#000A96,1,5
point,ВЛ,115-9,Нет группы,#000A96,1,5
point,вл,115-9,Нет группы,#000A96,1,5
point,ВлДер,115-7c,Нет группы,#000A96,1,5
point,ВЛМЕТ,115-7a,Нет группы,#000A96,1,5
point,влМЕТ,115-7a,Нет группы,#000A96,1,5
point,Водопровод,117-2,Нет группы,#000A96,1,5
point,вышка,Tower,Нет группы,#000A96,1,5
point,Der,390-1,Нет группы,#000A96,1,5
point,Дерево,390-1,Нет группы,#000A96,1,5
point,Дренаж,117-5,Нет группы,#000A96,1,5
point,Drenazh,117-5,Нет группы,#000A96,1,5
point,дренажные трубопроводы,117-5,Нет группы,#000A96,1,5
point,зад,26l,Нет группы,#000A96,1,5
point,Задв,26l,Нет группы,#000A96,1,5
point,задв,26l,Нет группы,#000A96,1,5
point,КабЗНБ,119,Нет группы,#000A96,1,5
point,кабзнб,119,Нет группы,#000A96,1,5
point,КабЗНМ,206-3,Нет группы,#000A96,1,5
point,кабзнм,206-3,Нет группы,#000A96,1,5
point,Канализация,117-3,Нет группы,#000A96,1,5
point,КИК,129-1,Нет группы,#000A96,1,5
point,кик,129-1,Нет группы,#000A96,1,5
